AFFX-BioB-5_at	131.7	140.3	119	88.6	122.2	109.8	132	217.7	176.1	139.9	292.3	504.9	156.3	172.5	158	314.3	200.8	343.1	479.7	456.9	410.1
AFFX-BioB-M_at	260.6	274.7	227.2	234.4	325.8	332.8	330.9	415	314.6	379.7	721.8	1370.2	381.9	380.3	377.3	797.1	416.7	799.9	985.4	1210.7	1102.9
AFFX-BioB-3_at	142.7	159.5	119.7	103.8	121	168.5	150.8	208.7	193.2	191.8	320	687.5	197.5	191.3	196.7	448.3	266.7	431.3	661	693.8	560.1
AFFX-BioC-5_at	348.8	396.4	288.1	249.2	335.9	335.4	385	507.9	449.1	449.8	731.4	1519.6	438.7	450.4	386.3	847	491	844.6	1273.2	1324.1	1052.6
AFFX-BioC-3_at	393.5	334.5	272.8	236.9	330.5	345.6	360.5	467	369.4	401.2	587.2	1281.6	368.9	440.1	405.5	741.4	478.7	793.2	1094.1	1175	1003.5
AFFX-BioDn-5_at	599	559.4	465	381.4	504.8	503.7	505.4	903.3	727.3	662.5	1190.9	2162	716.2	768.2	703.1	1458.9	792.7	1549.5	2049.7	2253.3	1793.1
AFFX-BioDn-3_at	2601.5	2537.7	1938.8	1751.8	2377.2	2439.2	2584.4	2921.2	2751.7	2506.2	4899.6	7153.7	2449.1	2249.8	2743.7	4744.3	3125.6	4975.9	7423.8	7712.8	6439.9
AFFX-CreX-5_at	4406.3	4229	3338.8	3074.4	4199.1	3935.3	4471.3	6210.5	4670.8	4865.5	7431.5	15186.3	4542.2	5039.1	4414.8	9222	5686.5	9521.5	13172.2	13640.8	11076.5
AFFX-CreX-3_at	6318.6	5748.3	4434.8	4057.5	5869.3	5268.2	6427.6	7572.1	6202.5	6016.5	10465.6	17122.9	5343.9	6599.3	6117.4	11543.5	6999.4	12110.7	17145.4	17504.1	13733
AFFX-DapX-5_at	4.7	4.1	7	5.2	9.5	6.8	3.3	2	16.4	5.5	9.5	16.3	3.1	4.9	1.7	8.3	4	13.4	2.9	6.1	5.7
AFFX-DapX-M_at	5.4	12.7	7.1	4.7	3.9	3.8	7.5	11.3	11.2	5.3	11.5	10.5	14.4	8.4	5.8	1.9	2.4	15.5	14.9	7.4	6.7
AFFX-DapX-3_at	1.4	1.5	1.9	1.8	1.1	1.7	1.5	1.3	7.5	0.8	9	7.6	3.6	0.7	0.8	0.5	1	0.5	2.9	0.7	1.2
AFFX-LysX-5_at	5.7	0.7	0.5	2.7	8.2	4.5	2	3.2	2.3	1.6	0.9	15.2	2.1	3.2	0.9	0.9	2.6	3.5	16.7	11.8	4.5
AFFX-LysX-M_at	1.9	13.2	1.6	1.8	5.1	7.7	8.5	10.8	5.6	7.3	6.1	20.1	11.7	2.3	1.4	2	1.1	2.9	5.5	2.8	2.9
AFFX-LysX-3_at	1.1	5.5	3.8	1.4	2.4	5.2	1.7	2.1	10.7	3.1	1.3	0.8	4.1	4	1.5	1.5	1.4	3.7	7.6	1.1	1.5
AFFX-PheX-5_at	0.5	0.7	0.8	0.8	1	1.1	0.9	1.2	1.5	1	1.5	1.3	1.5	0.4	0.7	1.9	0.2	0.8	2.9	1.2	0.7
AFFX-PheX-M_at	0.5	1.3	0.5	1	0.4	1.4	0.8	0.5	3.3	1.3	1.8	1.2	3.1	0.4	0.5	0.4	0.8	0.8	2.7	1	1
AFFX-PheX-3_at	14.7	16.6	5.4	9.8	5.9	3.7	15.3	15.8	6.5	8.9	18.2	7.3	14	10.3	16.6	7.1	15.3	7.7	26.7	19.5	7
AFFX-ThrX-5_at	2	2.2	1.4	1.5	2.6	4.9	3.8	2.8	3.5	4.3	3.5	5	2.6	1.4	7.1	0.9	2.8	1	4.6	3.4	3.6
AFFX-ThrX-M_at	3.1	5.1	4.4	0.9	5.6	3	4.2	7.9	4.2	7.7	3	16.4	2	5.2	3.3	1.2	2.6	0.8	5.3	10.5	0.6
AFFX-ThrX-3_at	1.7	1.8	1.9	2.1	2.3	2.1	2.9	1.8	3	2.4	3	7.1	2.4	1.6	1.9	1.2	0.8	1.6	3.3	2.5	2.5
AFFX-TrpnX-5_at	3.5	11.4	7.7	1.6	3.4	2.2	1.9	1.4	4.9	5	13.7	4.8	8.5	1.9	1.8	8	2.7	3.2	3.1	10.2	13.4
AFFX-TrpnX-M_at	0.7	1.7	0.7	0.7	2	1.2	0.8	1.5	2.2	1.1	2.8	1.9	4.1	1.1	0.7	1.8	0.9	1.1	2.9	4	0.5
AFFX-TrpnX-3_at	1.7	2.7	0.6	0.4	1.7	1	4	3.4	1.1	1.2	7.4	6.2	1.3	0.7	1.4	1.2	0.7	1.1	5	7.3	2.8
AFFX-HUMISGF3A/M97935_5_at	14.9	9.5	7.7	9.4	18.4	10.1	14.5	13.5	12	7.9	17.4	14.6	7.7	11	12.5	11	7.6	2	6.7	9.2	15
AFFX-HUMISGF3A/M97935_MA_at	45.3	61.4	35.5	44.4	77.1	42.3	62.2	52	37.5	19.7	61.5	39	24	25.1	32.9	54	51.6	44.6	52.8	37.4	41.4
AFFX-HUMISGF3A/M97935_MB_at	61.5	72.3	43.7	35.1	59.8	41.1	69.6	41.6	49.5	34	42.6	81.7	32.3	33	43.1	35.8	32.1	33.2	48.7	65.8	47.6
AFFX-HUMISGF3A/M97935_3_at	140.2	211.8	114.9	113.1	180	116.4	140.3	183.9	118.8	83.2	106.2	108.3	107.3	129.3	152.2	105.1	113.1	134.9	59.8	123.8	131.9
