CHPProbeSetName	H_ARP1-0h	H_ARP1-2h	H_ARP1-4h	H_ARP1-6h	H_ARP1-8h	H_ARP1-10h	H_ARP1-012h		med£¨£©			B-J	C-J	D-J	E-J	F-J	G-J	H-J			mad()			B-J	C-J	D-J	E-J	F-J	G-J	H-J			U1=(x-med)/9*mad	U2	U3	U4	U5	U6	U7		W1	W2	W3	W4	W5	W6	W7			Z1	Z2	Z3	Z4	Z5	Z6	Z7
AFFX-r2-Ec-bioB-5_at	162.1	150.6	128.1	95.4	106.6	155.2	165.5		150.6			11.5	0	22.5	55.2	44	4.6	14.9			14.9			11.5	0	-22.5	-55.2	-44	4.6	14.9			0.085756898	0	-0.167785235	-0.41163311	-0.328113348	0.034302759	0.111111111		0.900845412	1	0.78601749	0.405871305	0.535005594	0.963425946	0.867076496			10.35972224	0	-17.68539353	-22.40409603	-23.54024613	4.431759353	12.91943979
AFFX-r2-Ec-bioB-M_at	295	299.1	267.9	189.9	302.9	280.8	307.1		295			0	4.1	27.1	105.1	7.9	14.2	12.1			12.1			0	4.1	-27.1	-105.1	7.9	-14.2	12.1			0	0.037649219	-0.248852158	-0.965105601	0.072543618	-0.130394858	0.111111111		1	0.95962452	0.660995235	0.000164074	0.917720447	0.840285064	0.867076496			0	3.934460532	-17.91297088	-0.017244145	7.249991534	-11.9320479	10.4916256
AFFX-r2-Ec-bioB-3_at	212.1	218.7	175.5	146.8	193.7	228.5	220.2		212.1			0	6.6	36.6	65.3	18.4	16.4	8.1			16.4			0	6.6	-36.6	-65.3	-18.4	16.4	8.1			0	0.044715447	-0.24796748	-0.442411924	-0.124661247	0.111111111	0.054878049		1	0.951468244	0.662394016	0.360677492	0.848343876	0.867076496	0.939437864			0	6.279690412	-24.24362098	-23.55224024	-15.60952733	14.22005453	7.609446698
AFFX-r2-Ec-bioC-5_at	522.9	497.3	351.7	262.3	378.1	443.3	471.5		443.3			79.6	54	91.6	181	65.2	0	28.2			65.2			79.6	54	-91.6	-181	-65.2	0	28.2			0.135650988	0.09202454	-0.156100886	-0.308452624	-0.111111111	0	0.04805726		0.832831582	0.892662167	0.803272799	0.566215584	0.867076496	1	0.947550793			66.29339394	48.20375701	-73.57978839	-102.4850207	-56.53338754	0	26.72093238
AFFX-r2-Ec-bioC-3_at	601.7	590.3	454.7	416.7	519.6	559.5	575.2		559.5			42.2	30.8	104.8	142.8	39.9	0	15.7			39.9			42.2	30.8	-104.8	-142.8	-39.9	0	15.7			0.117516012	0.085769981	-0.291840713	-0.397660819	-0.111111111	0	0.043720412		0.858278061	0.900828448	0.592667073	0.426900756	0.867076496	1	0.952627274			36.21933419	27.7455162	-62.11150927	-60.96142792	-34.59635219	0	14.9562482
AFFX-r2-Ec-bioD-5_at	2824.6	2307.2	1930	1524.4	2225.3	2061.5	2691.5		2225.3			599.3	81.9	295.3	700.9	0	163.8	466.2			295.3			599.3	81.9	-295.3	-700.9	0	-163.8	466.2			0.225495729	0.030816119	-0.111111111	-0.263724273	0	-0.061632238	0.175414832		0.697742304	0.967344017	0.867076496	0.637420614	1	0.93125246	0.774620327			418.1569629	79.22547496	-256.0476893	-446.7681082	0	-152.539153	361.1279967
AFFX-r2-Ec-bioD-3_at	2336.8	2172.4	1670.1	1442.8	2012.9	2010.5	2177.8		2012.9			323.9	159.5	342.8	570.1	0	2.4	164.9			164.9			323.9	159.5	-342.8	-570.1	0	-2.4	164.9			0.218246749	0.107472542	-0.23098174	-0.384138535	0	-0.001617142	0.111111111		0.709054488	0.872028526	0.689149075	0.447515634	1	0.998377636	0.867076496			229.6627486	139.08855	-236.240303	-255.1286628	0	-2.396106327	142.9809142
AFFX-r2-P1-cre-5_at	8036.1	7046.3	5398.1	4945.1	6729.6	6953.2	7399.4		6953.2			1082.9	93.1	1555.1	2008.1	223.6	0	446.2			446.2			1082.9	93.1	-1555.1	-2008.1	-223.6	0	446.2			0.269659844	0.023183425	-0.387245381	-0.500049803	-0.055680064	0	0.111111111		0.627986501	0.975766836	0.442757938	0.281184637	0.93847372	1	0.867076496			680.0465817	90.8438924	-688.532869	-564.6468689	-209.8427238	0	386.8895325
AFFX-r2-P1-cre-3_at	8983.1	9080.9	6785.2	6080.2	8420.5	9396.1	9155.4		8983.1			0	97.8	2197.9	2902.9	562.6	413	172.3			413			0	97.8	-2197.9	-2902.9	-562.6	413	172.3			0	0.026311542	-0.591310196	-0.780979284	-0.151358623	0.111111111	0.046354587		1	0.972340761	0.172858643	0.033325243	0.810202995	0.867076496	0.949551529			0	95.09492643	-379.9260121	-96.73984657	-455.8202048	358.1025928	163.6077285
AFFX-r2-Bs-thr-5_s_at	26	30.8	23	21.2	27.7	24.7	23.9		24.7			1.3	6.1	1.7	3.5	3	0	0.8			1.7			1.3	6.1	-1.7	-3.5	3	0	-0.8			0.08496732	0.39869281	-0.111111111	-0.22875817	0.196078431	0	-0.052287582		0.901868315	0.425337697	0.867076496	0.692635212	0.743293543	1	0.942537427			1.172428809	2.594559952	-1.474030043	-2.424223242	2.229880629	0	-0.754029942
AFFX-r2-Hs18SrRNA-3_s_at	1441	533.3	774.2	970.6	526.2	852.2	507.9		774.2			666.8	240.9	0	196.4	248	78	266.3			240.9			666.8	-240.9	0	196.4	-248	78	-266.3			0.30755039	-0.111111111	0	0.090586228	-0.114385868	0.0359762	-0.122826438		0.567650983	0.867076496	1	0.894549956	0.862590769	0.961529968	0.850906538			378.5096754	-208.8787279	0	175.6896113	-213.9225107	74.99933751	-226.5964111
AFFX-r2-Hs18SrRNA-M_x_at	1238.7	480.9	706.7	827.7	435.2	631.2	547.7		631.2			607.5	150.3	75.5	196.5	196	0	83.5			150.3			607.5	-150.3	75.5	196.5	-196	0	-83.5			0.449101796	-0.111111111	0.055814297	0.145265026	-0.144895394	0	-0.061728395		0.351084664	0.867076496	0.938312144	0.819042469	0.819576229	1	0.931134857			213.2839333	-130.3215973	70.84256687	160.9418451	-160.6369409	0	-77.7497606
AFFX-r2-Hs18SrRNA-5_at	2682.4	950.6	1151	1825	608.2	1658.2	970.1		1151			1531.4	200.4	0	674	542.8	507.2	180.9			507.2			1531.4	-200.4	0	674	-542.8	507.2	-180.9			0.335480196	-0.043901157	0	0.147651595	-0.118909919	0.111111111	-0.039629338		0.523357786	0.952416994	1	0.815589428	0.856349767	0.867076496	0.957356536			801.470113	-190.8643655	0	549.7072744	-464.8266537	439.7811987	-173.1857974
AFFX-r2-Hs28SrRNA-3_at	1708.4	1190.4	1425.2	2171.7	1107.6	2217.4	1586.7		1586.7			121.7	396.3	161.5	585	479.1	630.7	0			396.3			121.7	-396.3	-161.5	585	-479.1	630.7	0			0.034121176	-0.111111111	-0.045279951	0.164017159	-0.134325847	0.176830123	0		0.963631075	0.867076496	0.950809187	0.79160924	0.834716519	0.772495505	1			117.2739019	-343.6224153	-153.5556837	463.0914055	-399.9126843	487.2129153	0
