	C1.1	C1.2	C1.3	C1.4	C1.5	C2.1	C2.2	C2.3	C2.4	C2.5
Gene_1	1879	2734	2369	2636	2188	9743	9932	10099	9829	9831
Gene_2	24	40	22	27	31	118	108	144	117	113
Gene_3	3291	3259	3214	3407	3298	1058	960	679	605	662
Gene_4	97	124	146	114	126	33	19	31	22	36
Gene_5	485	485	469	428	475	128	135	103	118	110
Gene_6	113	92	64	96	137	39	16	23	30	16
Gene_7	886	687	771	786	768	3002	2768	2861	2979	3104
Gene_8	84	25	67	62	61	277	246	297	241	212
Gene_9	68	63	94	70	64	255	260	233	293	299
Gene_10	802	874	863	853	937	212	201	236	232	176
Gene_11	3713	3620	3805	3682	3629	917	902	855	982	935
Gene_12	144	172	109	98	146	25	33	24	23	15
Gene_13	19	16	15	25	30	3	6	12	5	6
Gene_14	12488	13374	13208	13298	13286	3413	2949	3408	3414	3384
Gene_15	928	1396	1192	830	962	4535	4490	4612	4581	4473
Gene_16	3445	3424	3567	3256	3299	711	795	723	830	902
Gene_17	32	23	25	24	31	96	106	110	133	78
Gene_18	2465	2574	2269	2382	2286	555	599	586	556	505
Gene_19	575	497	459	706	713	2036	2007	2120	2246	2093
Gene_20	2391	2547	2639	2677	2551	524	749	598	520	504
Gene_21	1369	1423	1344	1378	1437	342	361	335	368	381
Gene_22	15371	15157	15201	15232	15791	6274	2330	3919	4620	2684
Gene_23	258	273	234	255	239	1113	1024	1039	1077	1120
Gene_24	811	940	861	939	905	3791	3666	3845	3641	3556
Gene_25	44	37	39	51	60	209	251	188	212	186
Gene_26	217	209	188	181	242	51	52	68	59	38
Gene_27	33	29	25	28	51	100	59	66	96	120
Gene_28	7560	7816	7851	7896	7484	1867	2389	1415	1766	2175
Gene_29	22	18	14	33	7	2	5	4	5	8
Gene_30	1522	1821	1574	1526	1691	6368	6595	6317	6299	6226
Gene_31	236	245	258	313	228	86	78	60	68	88
Gene_32	685	822	823	835	740	3064	3214	3029	3170	2951
Gene_33	6	10	4	3	3	3	0	2	1	3
Gene_34	1039	1007	1069	1164	1033	226	208	238	206	317
Gene_35	9	7	8	0	2	17	5	14	15	7
Gene_36	1199	1037	1220	1172	951	4706	4760	5038	4843	4888
Gene_37	2529	2314	2433	2344	2441	513	623	638	648	596
Gene_38	307	310	300	303	282	1182	1258	1225	1070	1235
Gene_39	977	1020	938	911	1003	3683	3946	3711	4147	3732
Gene_40	851	690	671	685	628	2992	2806	2821	2693	3015
Gene_41	1277	1197	1201	1154	1209	250	322	415	347	327
Gene_42	92	79	157	105	117	30	25	21	33	26
Gene_43	2497	2613	2871	2439	2629	631	652	737	711	736
Gene_44	925	949	649	884	859	3239	3360	3525	3283	3391
Gene_45	10	13	8	31	13	1	1	3	2	2
Gene_46	667	342	580	521	506	1981	1945	2030	1889	1967
Gene_47	756	781	754	804	782	195	200	214	200	182
Gene_48	380	455	402	345	545	1485	1609	1721	1735	1730
Gene_49	216	161	148	140	162	558	537	533	545	560
Gene_50	2147	2190	2165	2127	2180	595	589	480	600	592
Gene_51	702	690	702	827	779	217	140	147	211	158
Gene_52	3414	3456	3550	3660	3407	988	970	960	783	801
Gene_53	3711	3626	3789	3705	3684	912	897	1023	931	857
Gene_54	127	131	119	113	119	444	486	531	511	514
Gene_55	9	32	31	24	27	4	9	3	10	6
Gene_56	5	15	24	9	4	1	7	4	6	2
Gene_57	835	799	813	879	888	215	199	220	214	201
Gene_58	76	69	61	84	73	283	311	241	192	299
Gene_59	47	66	21	52	65	28	50	13	3	9
Gene_60	166	139	162	157	132	47	35	35	32	35
Gene_61	360	346	349	316	353	1451	1423	1427	1389	1482
Gene_62	129	116	124	146	79	31	25	35	28	38
Gene_63	8648	8589	9024	8540	8623	2412	2386	1605	2554	2960
Gene_64	968	1390	1170	1574	1581	5366	5595	5132	5475	5072
Gene_65	499	514	548	515	552	129	165	112	126	146
Gene_66	1176	1247	1188	1177	1182	304	288	293	299	395
Gene_67	0	5	3	3	8	27	30	24	20	24
Gene_68	155	241	195	113	170	616	653	609	588	684
Gene_69	1161	1275	1118	976	942	4187	4479	4516	4317	4545
Gene_70	750	702	672	918	743	3240	3049	3006	3300	3284
Gene_71	5	31	14	21	31	8	3	3	8	0
Gene_72	30	19	11	19	15	80	63	62	55	52
Gene_73	6517	6296	6443	6189	6215	1669	1643	1474	1582	1597
Gene_74	562	1110	816	685	805	2996	2935	2980	2851	3007
Gene_75	4374	4348	4753	4484	4447	1048	1145	1233	1063	1223
Gene_76	4	16	4	9	11	3	3	2	5	6
Gene_77	377	383	348	339	349	1611	1414	1552	1520	1506
Gene_78	623	902	917	654	753	3069	3164	3159	3302	3180
Gene_79	2901	3039	2811	2839	2854	677	630	787	692	669
Gene_80	422	457	396	419	410	141	102	115	86	120
Gene_81	384	400	403	331	420	1544	1457	1292	1548	1554
Gene_82	1075	952	1039	1017	1009	204	228	285	243	280
Gene_83	1843	1771	2004	1931	1753	7964	7815	7958	7777	7888
Gene_84	3	0	2	0	3	0	24	1	0	3
Gene_85	934	942	902	879	790	173	149	196	231	212
Gene_86	310	347	317	310	360	1184	1299	1233	1329	1214
Gene_87	6159	6823	6532	6657	6570	1781	1650	1836	1744	1607
Gene_88	3263	2900	3169	3278	3244	746	807	832	812	657
Gene_89	0	1	1	2	1	0	3	14	1	6
Gene_90	499	426	397	405	380	99	99	160	112	96
Gene_91	348	272	282	239	256	1288	1163	1273	1257	1201
Gene_92	3255	3593	3342	4126	4595	16378	16610	16210	15681	15595
Gene_93	1428	1166	1214	1356	1459	5666	5391	5574	5497	5622
Gene_94	3000	3084	3079	3058	2977	784	785	778	820	801
Gene_95	509	411	436	480	477	1935	1961	1803	1895	1866
Gene_96	949	904	930	1015	1119	4086	3852	3792	3621	3665
Gene_97	27	8	11	21	14	54	47	56	61	42
Gene_98	168	199	234	205	226	82	41	60	49	62
Gene_99	1250	1190	1324	1220	1247	298	322	306	256	327
Gene_100	208	146	169	121	152	39	49	44	49	29
Gene_1001	181	164	154	145	151	177	191	196	152	165
Gene_1002	69	52	43	58	41	51	54	36	58	42
Gene_1003	377	329	368	338	382	331	363	356	309	349
Gene_1004	309	220	274	219	274	235	251	162	299	266
Gene_1005	28	20	25	27	23	22	21	20	28	16
Gene_1006	496	610	586	641	557	627	587	595	633	662
Gene_1007	271	245	215	239	208	205	182	191	235	191
Gene_1008	247	198	338	280	311	311	276	251	294	307
Gene_1009	20	24	24	18	29	31	37	50	54	20
Gene_1010	2463	2659	4736	3330	2838	3681	3725	3327	3141	4414
Gene_1011	2	10	3	4	5	6	9	11	6	5
Gene_1012	293	289	288	265	343	293	259	280	382	321
Gene_1013	204	171	270	223	307	206	162	229	151	111
Gene_1014	573	418	489	394	566	472	325	483	438	532
Gene_1015	105	101	178	191	132	120	129	147	170	195
Gene_1016	863	653	551	509	711	710	552	676	738	592
Gene_1017	159	159	151	159	166	163	155	124	139	180
Gene_1018	2848	2619	2321	2737	2629	2514	2611	2625	2538	2267
Gene_1019	853	631	633	824	739	655	710	838	463	640
Gene_1020	1789	1735	1717	1705	1679	1651	1684	1588	1611	1746
Gene_1021	424	443	731	413	829	556	503	498	327	543
Gene_1022	968	973	890	981	897	889	1018	836	1029	977
Gene_1023	2039	2015	2034	1953	1858	1916	1778	1901	2089	2082
Gene_1024	517	536	542	492	523	553	576	541	511	550
Gene_1025	161	210	145	212	202	164	171	213	164	163
Gene_1026	1906	1975	1815	1797	1779	1822	1703	1692	1816	1873
Gene_1027	226	161	223	205	178	169	202	200	204	213
Gene_1028	1304	1266	1258	1203	1172	1369	1138	1259	1264	1409
Gene_1029	243	377	289	302	363	320	311	315	288	340
Gene_1030	118	145	112	170	111	157	137	120	192	106
Gene_1031	27	14	20	26	21	28	24	26	20	17
Gene_1032	254	357	318	323	350	325	273	307	335	276
Gene_1033	1663	1811	1732	1809	1692	1669	1676	1764	1659	1853
Gene_1034	665	660	575	418	635	633	590	824	738	664
Gene_1035	134	105	194	182	117	157	133	157	136	133
Gene_1036	921	858	868	848	939	1160	1044	1100	995	918
Gene_1037	500	383	465	387	512	380	478	406	455	425
Gene_1038	850	855	800	914	910	933	854	937	838	937
Gene_1039	108	76	81	73	105	85	91	83	90	79
Gene_1040	20	40	38	25	55	31	19	28	37	33
Gene_1041	17	24	48	12	24	21	13	25	21	49
Gene_1042	1480	1665	1817	1242	1469	1779	1645	1434	1230	1934
Gene_1043	564	616	574	519	540	579	616	615	598	648
Gene_1044	481	389	562	445	475	495	374	529	442	391
Gene_1045	317	320	298	304	291	325	276	342	290	226
Gene_1046	32	30	36	25	32	34	25	34	36	35
Gene_1047	331	315	416	325	352	348	403	409	344	316
Gene_1048	6411	4451	4065	5508	5371	5257	3810	5007	5333	5263
Gene_1049	292	193	362	189	254	230	244	303	180	283
Gene_1050	6505	8378	5791	6318	6730	6298	6555	5363	7945	6403
Gene_1051	5	9	4	3	9	6	3	3	4	2
Gene_1052	447	398	383	457	452	502	386	452	525	382
Gene_1053	18	8	15	13	15	8	9	16	15	18
Gene_1054	325	417	368	294	579	456	333	414	261	459
Gene_1055	31	35	37	30	29	33	37	33	37	33
Gene_1056	220	177	163	159	167	182	184	169	183	190
Gene_1057	3	1	1	1	0	3	3	4	3	3
Gene_1058	188	161	144	187	190	189	204	196	164	192
Gene_1059	515	440	490	484	483	516	504	456	473	459
Gene_1060	79	93	95	77	103	87	100	94	93	83
Gene_1061	109	114	108	96	111	121	108	110	109	121
Gene_1062	437	290	436	460	470	401	393	413	382	310
Gene_1063	5902	5469	9062	7197	5408	8325	7169	9209	8399	6628
Gene_1064	112	133	116	122	95	101	145	132	110	153
Gene_1065	251	304	291	255	383	250	386	397	280	384
Gene_1066	12	9	16	16	17	9	19	10	18	20
Gene_1067	1197	1716	1581	1917	1430	1289	1563	1505	1937	1558
Gene_1068	297	289	322	196	198	384	281	186	331	339
Gene_1069	412	463	322	434	336	468	430	344	440	399
Gene_1070	1793	1420	1388	1979	1056	1969	1731	1655	1716	1797
Gene_1071	14	27	15	14	12	20	13	22	24	20
Gene_1072	395	416	473	451	374	602	408	390	501	426
Gene_1073	1414	1221	1497	1438	1601	1589	1595	1795	1262	2049
Gene_1074	181	198	180	164	173	176	160	178	154	172
Gene_1075	1136	1198	1118	1250	1109	1079	1103	1150	1114	1055
Gene_1076	25	14	18	32	22	17	21	25	18	22
Gene_1077	2544	1995	2931	1980	2878	2319	2799	2517	2517	2957
Gene_1078	411	441	429	421	428	432	436	403	375	409
Gene_1079	234	211	295	351	277	252	257	199	297	192
Gene_1080	5	1	3	2	5	4	6	6	5	1
Gene_1081	315	313	362	304	223	339	275	345	364	278
Gene_1082	516	556	564	554	535	622	672	510	464	623
Gene_1083	4	8	7	8	10	8	7	11	8	12
Gene_1084	213	174	189	138	175	174	165	191	194	163
Gene_1085	81	94	84	108	102	85	70	119	82	97
Gene_1086	1813	1805	1523	1525	1782	1658	1809	1646	1822	1590
