cluster,Probe Set ID,
1,PTP4A1,
1,SIPA1L1,
1,RABGGTA,
1,RGL1,
1,TNFSF9,
1,ICOS,
1,PLK3,
1,FRMD4A,
1,OSBPL3,
1,TOB1,
1,CD70,
1,C12orf5,
1,LRDD,
1,FAS,
1,TP53AP1,
1,FAS,
1,DRAM,
1,GLS2,
2,PSG9,
2,AMHR2,
2,NKX3-1,
2,CYP2C9,
2,xxxx1,
2,IGFBP4,
2,BEST2,
2,C20orf103,
2,RP5-886K2.1,
2,CYP2A13,
2,MMP14,
2,THBS3,
2,IGKV1D-13,
2,RHD,
2,ESR1,
2,TAS2R1,
2,SLC8A2,
2,ZNF552,
2,SPG20,
2,AGRN,
2,xxxx2,
2,PDE3B,
2,xxxx3,
2,MEFV,
2,FOXH1,
2,PRY,
2,MSX1,
2,SS18,
2,HIST1H3J,
2,BC37295_3,
2,PFKFB1,
2,ZNF528,
2,KCNN3,
2,CDC27,
2,HLA-DOA,
2,PSG9,
2,STK17A,
2,POU2AF1,
2,TBXA2R,
2,VCAN,
2,VCAN,
2,COL5A1,
3,HOMER1,
3,ZZZ3,
3,ZNF24,
3,BAZ1A,
3,SOX4,
3,DICER1,
3,ZKSCAN1,
3,KIAA0143,
3,NUP88,
3,MBNL1,
3,C10orf18,
3,DNAJB6,
3,ATP11B,
3,DR1,
3,HMG20B,
3,ABI1,
3,UBE2N,
3,SKP2,
3,FBXL14,
3,NT5C2,
3,NUP98,
3,PJA2,
3,NCK1,
3,UBE2G1,
3,SPATA5L1,
3,ATG12,
3,ATRX,
3,LRRFIP1,
3,ZNF292,
3,OSBPL8,
3,PRKAR2B,
3,KLC1,
3,ZFAND1,
3,CD46,
3,MTDH,
3,MGAT2,
3,PPP2R5C,
3,TLOC1,
3,EIF5A,
3,SEC63,
3,RNF11,
3,PTGER4,
3,ZBTB11,
3,C1orf181,
3,MED17,
3,FASTKD3,
3,ZNF217,
3,CKLF,
3,PIP5K3,
3,RASGRP1,
3,RANBP6,
3,CBFA2T3,
3,SEH1L,
3,ADD3,
3,xxxx4,
3,SLC25A32,
3,DDX3Y,
3,SC4MOL,
4,DKC1,
4,RTN4,
4,CARS,
4,HNRNPC,
4,MARS,
4,CHD4,
4,CYC1,
4,SLC38A1,
4,NARS,
4,ACAT2,
4,C16orf80,
4,C1QBP,
4,MAPK6,
4,YARS,
4,DDX3X,
4,TARS,
4,MYC,
4,SCD,
4,CKS2,
4,ARL4C,
4,ARL4C,
4,DDIT4,
4,IGFBP2,
4,FASN,
